time	0	0	3	3	6.25	6.25	22.83	22.83	26	26	29.33	29.33	47.75	47.75	49.83	49.83	54.25	54.25	70.67	70.67
techrep	A	B 	A	B 	A	B 	A	B 	A	B 	A	B 	A	B 	A	B 	A	B 	A	B
wt_axenic_1	93	56	78	88	98	108	385	380	540	415	440	625	1700	1300	NA	NA	NA	NA	NA	NA
wt_axenic_2	79	76	67	47	103	75	230	250	260	245	365	355	870	1070	NA	NA	NA	NA	NA	NA
wt_axenic_3	64	69	67	63	61	78	220	250	240	230	385	345	880	965	NA	NA	NA	NA	NA	NA
wt_axenic_4	65	77	70	61	95	85	350	231	231	245	362	265	945	835	NA	NA	NA	NA	NA	NA
drnb_axenic_1	69	98	108	73	104	101	123	158	149	174	166	190	405	445	465	435	460	408	950	865
drnb_axenic_2	56	90	64	76	79	95	107	125	137	125	168	131	235	250	320	340	290	340	645	610
drnb_axenic_3	78	83	61	89	67	64	81	95	86	111	103	127	158	168	245	195	217	227	409	337
drnb_axenic_4	70	79	52	68	71	72	89	79	106	105	130	99	200	177	185	185	216	251	392	405
