miRNA.ID	rpm	species
ddi-mir-1179	13.7378422553867	ddis
ddi-mir-7097	109.106633267418	ddis
ddi-mir-1183	215.945735917835	ddis
ddi-mir-7096	53.4320254167401	ddis
ddi-mir-1186	17.4803742679919	ddis
ddi-mir-1176	93.0794403539832	ddis
ddi-mir-1177	113.110724543828	ddis
dfi-mir-1192	8.87540896409444	dfir
dfi-mir-1191	10020.7848906019	dfir
dfi-mir-1190	18628.530168486	dfir
dfi-mir-1195	52424.3376556607	dfir
dfi-mir-1196	6.29206933084003	dfir
dfi-mir-1189	30739.2682117838	dfir_new
dfi-mir-1190	16359.0090479664	dfir_new
dfi-mir-1191	8790.87041853259	dfir_new
dfi-mir-1192	7.78944341055842	dfir_new
dfi-mir-1193	4939.89863670344	dfir_new
dfi-mir-1177	89.9969065372704	dfir_new
dfi-mir-1194	35293.2613830541	dfir_new
dfi-mir-1195	46077.5899332504	dfir_new
dfi-mir-1196	5.51792828723396	dfir_new
dla-mir-1197	11.5917679989103	dlac
dla-mir-1198	31646.25285205	dlac
ppa-mir-1199	195.131148632217	ppal
ppa-mir-1200	2.34869162398325	ppal
ppa-mir-1201	27.9251843204934	ppal
ppa-mir-1202	529.379166242045	ppal
asu-mir-1203	422.867078263482	asub
asu-mir-1204-P1	50427.9628615799	asub
asu-mir-1204-P2	50475.3866606684	asub
asu-mir-1204-P3	50208.9093368619	asub
asu-mir-1205	1572.61557715489	asub
asu-mir-1206	3678.60550255028	asub
asu-mir-1207	1813.39668977663	asub
asu-mir-1208	1900.29426946859	asub
asu-mir-1204-P4	50551.8198607881	asub
asu-mir-1209	3140.81788509119	asub
asu-mir-1210	91.6905202582505	asub
asu-mir-1211	629.322702325492	asub
asu-mir-1212	310.55185309281	asub
asu-mir-1213	3906.16527397297	asub
asu-mir-1204-P5	50079.8729604594	asub
asu-mir-1204-P6	50816.3623182652	asub
asu-mir-1214	72.5499920980866	asub
asu-mir-1215	36.3485585979699	asub
asu-mir-1204-P7	50163.0640519407	asub
asu-mir-1204-P8	50421.4223991787	asub
asu-mir-1216	21163.8041371078	asub
asu-mir-1217	1900.55058286745	asub
dfa-mir-1218	22.4058906957105	dfas
dfa-mir-1219	385.114238510223	dfas
dfa-mir-1220-P1	20611.5233117487	dfas
dfa-mir-1220-P2	20764.4634589963	dfas
ppo-mir-1221	796.761241554067	ppol
ppo-mir-1222	74.3342987254454	ppol
ppo-mir-1223	21.2075493332707	ppol
ppo-mir-1224	25.023713858876	ppol
ppo-mir-1225	49.1554074725794	ppol
ppo-mir-1226	675.94227291086	ppol
ppo-mir-1227	67.1333756126314	ppol
aca-mir-1228	8.2345213468008	acas
ale-mir-1228-P1	14.9129211952186	alen
ale-mir-1229	5.9812566539115	alen
ale-mir-1228-P2	16.5837030322104	alen
ale-mir-1230-P1	26.5213918773328	alen
ale-mir-1230-P2	25.7889522933813	alen
