species	miRNA.ID	axtell_pass	mirbase_pass	mirgenedb_pass	passed
ddis	ddi-mir-1179	TRUE	TRUE	TRUE	passed
ddis	ddis_Cluster_1065(+)	TRUE	7 miR* reads	84% precision	failed: only one set of criteria
ddis	ddi-mir-7097	TRUE	TRUE	TRUE	passed
ddis	ddi-mir-1183	TRUE	TRUE	88% precision	passed
ddis	ddi-mir-7096	TRUE	7 miR* reads	TRUE	passed
ddis	ddi-mir-1186	TRUE	TRUE	TRUE	passed
ddis	ddi.miR.7102	TRUE	TRUE	80% precision	passed
ddis	ddi-mir-1176	TRUE	TRUE	TRUE	passed
ddis	ddi-mir-1177	TRUE	TRUE	TRUE	passed
ddis	ddis_Cluster_1861(+)	TRUE	TRUE	0 unpaired bases	failed: only one set of criteria
dfir	dfi-mir-1192	TRUE	TRUE	85% precision	passed
dfir	dfir_Cluster_2173(-)	one_library	1% miR* precision	TRUE	failed: only one set of criteria
dfir	dfir_Cluster_4036(-)	TRUE	44% miR* precision	TRUE	failed: only one set of criteria
dfir	dfir_Cluster_4338(+)	4 bulges	3% miR* precision	TRUE	failed: only one set of criteria
dfir	dfi-mir-1191	TRUE	45% miR* precision	TRUE	passed
dfir	dfi-mir-1190	TRUE	TRUE	0 unpaired bases	passed
dfir	dfir_Cluster_5691(+)	71% precision	TRUE	71% precision	failed: only one set of criteria
dfir	dfir_Cluster_5750(-)	TRUE	7% miR* precision	48% precision	failed: only one set of criteria
dfir	dfir_Cluster_6082(-)	one_library	3% miR* precision	TRUE	failed: only one set of criteria
dfir	dfi-mir-1195	TRUE	34% miR* precision	TRUE	passed
dfir	dfir_Cluster_7309(-)	4 bulges	41% miR* precision	TRUE	failed: only one set of criteria
dfir	dfir_Cluster_7940(-)	TRUE	2% miR* precision	81% precision	failed: only one set of criteria
dfir	dfir_Cluster_8292(+)	TRUE	TRUE	62% precision	failed: only one set of criteria
dfir	dfi-mir-1196	TRUE	TRUE	77% precision	passed
